userid,country,state,county,city
USER_99b02dd4,United States of America,Tennessee,Davidson,Nashville-Davidson
USER_6ea79f05,United States of America,Georgia,Bulloch County,UKN
USER_53ad8618,United States of America,Pennsylvania,Philadelphia County,Philadelphia
USER_52176858,United States of America,Michigan,Wayne,Detroit
USER_69a693b2,United States of America,Pennsylvania,Allegheny County,Wilkinsburg
USER_a087bced,United States of America,Maryland,Baltimore County,Towson
USER_7b9d2c1c,United States of America,New Jersey,Essex,South Orange
USER_18bb017e,United States of America,New York,Queens County,NYC
USER_f0b348e5,United States of America,New York,Kings County,NYC
USER_4f168857,United States of America,New York,Kings,NYC
USER_c5802dce,United States of America,New York,Queens County,NYC
USER_437c3620,United States of America,UKN,District of Columbia,Washington
USER_843d2734,United States of America,Alabama,Tuscaloosa County,Tuscaloosa
USER_d6d5372f,United States of America,North Carolina,Orange,Chapel Hill
USER_4622eb24,United States of America,New York,Queens County,NYC
USER_5518e1c7,United States of America,North Carolina,Mecklenburg,UKN
USER_6d2c312a,United States of America,North Carolina,Mecklenburg,UKN
USER_b2769e92,United States of America,Georgia,Lowndes,Valdosta
USER_2dc64050,United States of America,New Jersey,Union,Roselle
USER_58a72fc2,United States of America,Louisiana,Jefferson,Timberlane
USER_7d5a3c0b,United States of America,New York,Kings,NYC
USER_0f396eb9,United States of America,California,Los Angeles,Long Beach
USER_8363b473,United States of America,New Jersey,Union,Hillside
USER_be2e6a6f,United States of America,Michigan,Oakland County,Commerce Township
USER_57747ec8,United States of America,Alabama,Houston,Dothan
USER_d2984545,United States of America,Georgia,Fulton County,Atlanta
USER_2fe25355,United States of America,Georgia,Bibb County,UKN
USER_358eb04b,United States of America,California,Los Angeles,L.A.
USER_eae37467,United States of America,Virginia,Chesterfield,UKN
USER_375ddf66,United States of America,California,Los Angeles County,L.A.
USER_f45802c0,United States of America,California,Los Angeles,L.A.
USER_12eea51c,United States of America,Florida,Miami-Dade County,UKN
USER_50644369,United States of America,New York,Kings County,NYC
USER_98d9a91f,United States of America,New York,Kings,NYC
USER_04832ac1,United States of America,New York,Kings County,NYC
USER_38954186,United States of America,New Jersey,Union,Hillside
USER_0d78e1b8,United States of America,New York,Queens County,NYC
USER_f1895943,United States of America,North Carolina,Wayne,Goldsboro
USER_0574ec96,United States of America,Texas,Brazoria County,UKN
USER_46ccc337,United States of America,California,San Bernardino County,Fontana
USER_e83211ae,United States of America,New Jersey,Bergen,Hackensack
USER_d33bc6c5,United States of America,New York,Queens County,NYC
USER_719d791c,United States of America,Louisiana,Orleans,New Orleans
USER_646d827a,United States of America,Indiana,Marion County,UKN
USER_251b7e99,United States of America,Florida,Orange County,Orlando
USER_01120586,United States of America,Maryland,Baltimore County,Owings Mills
USER_8766f6a8,United States of America,New York,New York,NYC
USER_39eac494,United States of America,Pennsylvania,Allegheny County,Pittsburgh
USER_acfe6c18,United States of America,North Carolina,Harnett,Dunn
USER_238b3af9,United States of America,California,San Joaquin County,UKN
USER_e07f434a,United States of America,New York,Richmond,NYC
USER_ff0f45aa,United States of America,New York,Queens County,NYC
USER_c20e53c6,United States of America,New York,Bronx County,NYC
USER_ca500736,United States of America,Illinois,Cook,Chicago
USER_0155216d,United States of America,Arizona,Yavapai,UKN
USER_9c2fd500,United States of America,Ohio,Cuyahoga County,Cleveland
USER_1b129026,United States of America,Nevada,Clark County,Las Vegas
USER_43c037aa,United States of America,California,San Bernardino County,Victorville
USER_95c7128a,United States of America,Ohio,Cuyahoga County,Cleveland Heights
USER_653bda0b,United States of America,Connecticut,Fairfield,Bridgeport
USER_0f730f8b,United States of America,New York,Queens County,NYC
USER_76c704df,United States of America,Georgia,Lowndes,UKN
USER_27365aee,United States of America,Georgia,Clayton,UKN
USER_e2fb64c8,United States of America,Pennsylvania,Monroe County,Stroudsburg
USER_8519d5fe,United States of America,New York,Nassau,Uniondale
USER_da044d97,United States of America,California,Los Angeles County,Lancaster
USER_6d630456,United States of America,Arizona,Maricopa,Tempe
USER_4ecdcf5a,United States of America,Oregon,Malheur County,UKN
USER_3e7c5551,United States of America,New York,Bronx County,NYC
USER_cde99fca,United States of America,California,Sacramento,Sacramento
USER_74efae9a,United States of America,UKN,Dutchess,Arlington
USER_346abdd3,United States of America,California,Los Angeles County,L.A.
USER_ca067496,United States of America,New York,Kings,NYC
USER_0773b183,United States of America,New York,Kings,NYC
USER_0353e8ae,United States of America,South Carolina,Richland,Columbia
USER_4d14a523,United States of America,California,Los Angeles,UKN
USER_27645411,United States of America,California,Los Angeles County,Hawaiian Gardens
USER_2cf676c6,United States of America,Virginia,Alexandria City,Alexandria
USER_e5c25181,United States of America,Virginia,York,Newport News
USER_fc55e9c1,United States of America,Ohio,Oxford Township,Oxford
USER_3661c009,United States of America,California,San Diego County,El Cajon
USER_d5b9c513,United States of America,Massachusetts,Suffolk County,Boston
USER_2e8051b0,United States of America,Maryland,Prince George's,Hillcrest Heights
USER_cc51e881,United States of America,Massachusetts,Essex County,Lawrence
USER_68dec67d,United States of America,New York,Queens County,NYC
USER_cb42665c,United States of America,Michigan,Clinton,UKN
USER_91c1ef94,United States of America,California,Riverside County,Moreno Valley
USER_5c018fe5,United States of America,Michigan,Mecosta,UKN
USER_e0f36bee,United States of America,New York,Queens County,NYC
USER_afc3c8d5,United States of America,Pennsylvania,Chester,UKN
USER_7b933117,United States of America,Missouri,City of St. Louis,St. Louis
USER_8738c6e4,United States of America,Georgia,Baldwin,Milledgeville
USER_9c1a18d3,United States of America,Georgia,Cobb,Kennesaw
USER_98b05a22,United States of America,Maryland,Prince George's,UKN
USER_f209dfa9,United States of America,Florida,Broward County,Sunrise
USER_387634a2,United States of America,California,Contra Costa County,UKN
USER_332253b1,United States of America,Rhode Island,Providence,Providence
USER_6b77ca75,United States of America,Texas,Denton,Denton
USER_0fd793b6,United States of America,Alabama,Jefferson,Birmingham
USER_3806c97f,United States of America,New York,Queens County,NYC
USER_9da43899,United States of America,Washington,King County,Federal Way
USER_3dd104e2,United States of America,New York,Queens County,NYC
USER_2def1d0c,United States of America,Michigan,Wayne,Detroit
USER_b1c20866,United States of America,Texas,Harris,Houston
USER_6b66c5db,United States of America,Maryland,Prince George's,Marlow Heights
USER_a130b4fd,United States of America,Ohio,Cuyahoga County,Shaker Heights
USER_b8e31621,United States of America,New Jersey,Bergen,Englewood
USER_ddcd55fb,United States of America,California,SF,San Francisco
USER_ae07697f,United States of America,New York,Kings,NYC
USER_32d7d7de,United States of America,Florida,Escambia County,UKN
USER_2575e0ec,México,Sinaloa,UKN,Los Mochis
USER_3460b144,United States of America,Ohio,Summit County,Akron
USER_d5671d17,United States of America,Georgia,Chatham,Savannah
USER_d649b0c8,United States of America,New Jersey,Rockland County,Montebello
USER_299ca4bd,United States of America,Maryland,Baltimore County,Milford Mill
USER_ef04de38,United States of America,Ohio,Montgomery County,Dayton
USER_e1bc5ab0,United States of America,New York,Nassau,Seaford
USER_eddc347f,United States of America,South Carolina,Richland,UKN
USER_f9ce236e,United States of America,Michigan,Macomb,Roseville
USER_0e45bc49,United States of America,Delaware,New Castle County,Newark
USER_e928d16d,United States of America,South Carolina,Spartanburg County,Valley Falls
USER_ded4ac5f,United States of America,California,Orange County,Santa Ana
USER_346d6782,United States of America,Louisiana,Plaquemines Parish,Belle Chasse
USER_e98c4db7,United States of America,Texas,Harris,Houston
USER_960b6e06,United States of America,Massachusetts,Norfolk County,Randolph
USER_9ea6cfdd,United States of America,Georgia,Cobb,UKN
USER_318223a3,United States of America,New York,Kings County,NYC
USER_2c7c4759,United States of America,Pennsylvania,Columbia County,UKN
USER_da7af081,United States of America,New York,Kings,NYC
USER_cbcf94e0,United States of America,New York,Bronx County,NYC
USER_3fa9dad6,United States of America,Texas,Jefferson,Port Arthur
USER_5b31583c,United States of America,New York,Nassau,Hempstead
USER_90d93973,United States of America,New York,New York County,NYC
USER_1aa8f131,United States of America,New York,Nassau,Valley Stream
USER_07d9eee0,United States of America,Tennessee,Shelby,Memphis
USER_53677ab2,United States of America,Massachusetts,Essex County,Beverly
USER_28352255,United States of America,New York,Queens County,NYC
USER_b1e8258f,United States of America,Virginia,Chesterfield,Ettrick
USER_5a696145,United States of America,Wisconsin,Racine,Racine
USER_e45e3d27,United States of America,California,Los Angeles,Hidden Hills
USER_a0d8832e,Canada,Ontario,UKN,Toronto
USER_614807bf,United States of America,Colorado,Adams,Denver
USER_1fcf1cf9,United States of America,New York,Kings,NYC
USER_94d38cf9,United States of America,New Jersey,Bergen,Hackensack
USER_d40fb6de,United States of America,North Carolina,Forsyth,Winston-Salem
USER_937a9ffb,United States of America,New York,Kings,NYC
USER_4d894ab6,United States of America,Indiana,Marion,UKN
USER_4a63a466,United States of America,Texas,Tarrant County,Fort Worth
USER_c951de32,United States of America,New York,Westchester County,UKN
USER_1f52e50f,United States of America,Missouri,Jefferson,Concord
USER_2ec881e4,United States of America,North Carolina,Cumberland,UKN
USER_660f6ca7,United States of America,Alabama,Madison,UKN
USER_721126d1,United States of America,California,Los Angeles County,UKN
USER_40cc9c41,United States of America,North Carolina,Forsyth,Winston-Salem
USER_27daf468,United States of America,New York,Kings,NYC
USER_57186934,United States of America,New York,Kings County,NYC
USER_4a5ce025,United States of America,Tennessee,Shelby,Memphis
USER_d203d3f4,United States of America,New York,Bronx County,NYC
USER_0931469a,United States of America,Tennessee,Hamilton,UKN
USER_00ebe611,Canada,Ontario,UKN,Toronto
USER_cf2a2b58,United States of America,New York,Kings County,NYC
USER_ddc2c0b4,United States of America,California,Los Angeles County,L.A.
USER_ebddf7a7,United States of America,Connecticut,New Haven,UKN
USER_b1db53ce,United States of America,Kentucky,Franklin,UKN
USER_f4662c9c,United States of America,Ohio,Stark,Alliance
USER_daaaaafe,United States of America,New York,Kings,NYC
USER_9cd211ce,United States of America,Nevada,Clark County,Sunrise Manor
USER_b67cd3af,United States of America,Georgia,Fulton County,Sandy Springs
USER_4d51ccb2,United States of America,New York,Kings,NYC
USER_e4bea333,United States of America,North Carolina,Durham County,UKN
USER_cad31e45,United States of America,Alabama,Tuscaloosa County,Tuscaloosa
USER_71c77603,United States of America,Ohio,Cuyahoga County,Cleveland
USER_72cdae8d,United States of America,Iowa,Hancock,Forest City
USER_3a2c69ba,United States of America,New York,Kings County,NYC
USER_e5e5b298,United States of America,Georgia,Fulton County,Sandy Springs
USER_15cb67cc,United States of America,New York,Bronx County,NYC
USER_a268a632,United States of America,Virginia,Williamsburg (city),Williamsburg
USER_cdcc21c1,United States of America,New York,Bronx County,NYC
USER_4fb0f981,United States of America,New York,Queens County,NYC
USER_2e6e9801,United States of America,California,Santa Clara County,Sunnyvale
USER_a9ba2beb,United States of America,Michigan,Wayne,Detroit
USER_ff02d5e7,United States of America,UKN,District of Columbia,Washington
USER_f076e555,United States of America,New York,Town of Cortlandt,Croton-on-Hudson
USER_01c3f2cb,United States of America,Florida,Orange County,Orlando
USER_96f6af21,United States of America,New Jersey,Passaic,Paterson
USER_93339b8e,United States of America,California,Los Angeles,West Covina
USER_01b8a291,United States of America,Iowa,Harrison,UKN
USER_8247eb63,United States of America,Ohio,Summit County,Akron
USER_02583ca8,United States of America,Ohio,Hamilton County,Cincinnati
USER_be103d83,United States of America,Mississippi,Harrison,Pass Christian
USER_2b101cc6,United States of America,UKN,District of Columbia,Washington
USER_cb6ece1a,United States of America,Connecticut,Fairfield,Bridgeport
USER_e9d3d0c4,United States of America,California,Sacramento,Sacramento
USER_e2975917,United States of America,Alabama,Macon,Tuskegee
USER_5617f673,United States of America,New York,Queens County,NYC
USER_da9ca3d1,United States of America,California,Alameda County,Alameda
USER_cf4141d0,United States of America,Florida,Leon County,Tallahassee
USER_7ac53c03,United States of America,Ohio,Lucas County,Toledo
USER_9c954b7f,United States of America,Alabama,Autauga,UKN
USER_b287c9af,United States of America,Virginia,Rockingham County,Harrisonburg
USER_be15325f,United States of America,Illinois,Jackson,UKN
USER_5f298570,Bermuda,UKN,UKN,City of Hamilton
USER_d517a2e4,United States of America,North Carolina,Mecklenburg,UKN
USER_7715591d,United States of America,New Jersey,Essex,Newark
USER_159321af,Canada,Québec,UKN,Montréal
USER_d5ac0325,United States of America,New York,New York,NYC
USER_7e3af662,United States of America,Ohio,Cuyahoga County,Cleveland
USER_ee798579,United States of America,Virginia,Fairfax,Mount Vernon
USER_e7e38f43,United States of America,New York,Kings,NYC
USER_0486e501,United States of America,Tennessee,Davidson,Nashville-Davidson
USER_7d75d919,United States of America,New York,Kings,NYC
USER_f5674fa0,United States of America,Texas,Fort Bend,Richmond
USER_23c58825,United States of America,Illinois,Cook County,Chicago
USER_73246d2a,United States of America,California,El Dorado,UKN
USER_2b071628,United States of America,New York,Queens County,NYC
USER_6d5b0a2b,United States of America,Arizona,Maricopa,Tempe
USER_9f0ecaff,United States of America,Georgia,Fulton County,East Point
USER_c01bb130,United States of America,New York,Queens County,NYC
USER_173904d3,United States of America,New York,New York,NYC
USER_89f77fb8,United States of America,New York,Queens County,NYC
USER_f8bba5df,United States of America,New York,New York,NYC
USER_ebe43156,United States of America,Virginia,Montgomery County,Blacksburg
USER_0d1081cf,United States of America,Florida,Duval County,Jacksonville
USER_5ac1aaa0,United States of America,New York,Westchester,Mount Vernon
USER_350cd58e,United States of America,Pennsylvania,Philadelphia County,Philadelphia
USER_9198542f,United States of America,Virginia,Arlington County,Arlington
USER_13257296,United States of America,New Jersey,Bergen,Lodi
USER_14804c72,United States of America,Washington,Pierce County,Tacoma
USER_c943c336,United States of America,Washington,King,UKN
USER_1fe04650,United States of America,Florida,Hillsborough County,Tampa
USER_684a2501,United States of America,California,Los Angeles,UKN
USER_e9ca75c8,United States of America,Wisconsin,Grant,UKN
USER_9a91292d,United States of America,Kentucky,Franklin,Frankfort
USER_953c9897,United States of America,New York,New York,NYC
USER_a31ca69a,United States of America,Oregon,Jackson County,Talent
USER_978cdff8,Canada,Prince Edward Island,Queens County,Charlottetown
USER_2baa6c6e,United States of America,Massachusetts,Suffolk County,Boston
USER_c1275841,United States of America,South Carolina,Horry County,Myrtle Beach
USER_11e68741,United States of America,New York,Kings,NYC
USER_53a14281,United States of America,New York,New York,NYC
USER_94c9b68c,United States of America,Pennsylvania,Chester,UKN
USER_0b3db3a9,United States of America,Pennsylvania,Philadelphia County,Philadelphia
USER_f39c4fff,United States of America,Georgia,Fulton County,Atlanta
USER_78e19b65,United States of America,Maryland,Prince George's,UKN
USER_0260ac1c,United States of America,Florida,Broward County,Miramar
USER_2e8af21c,United States of America,Michigan,Oakland County,Southfield
USER_26eeeb4d,United States of America,California,Sacramento,Sacramento
USER_1c4396b1,United States of America,New York,Kings,NYC
USER_73479d68,United States of America,Georgia,Cobb,UKN
USER_b3f40e3f,United States of America,Tennessee,Shelby,Memphis
USER_d4d1d16b,United States of America,Florida,Hillsborough County,Tampa
USER_6f3e1d63,United States of America,Tennessee,Coffee,Manchester
USER_3f65f650,United States of America,California,Los Angeles,Palmdale
USER_b84a49b0,United States of America,Florida,Miami-Dade County,Miami Gardens
USER_b0a5af0e,United States of America,Montana,Yellowstone,Billings
USER_8daa0eac,United States of America,South Carolina,Kershaw,UKN
USER_179c0eef,United States of America,Idaho,Ada,Boise City
USER_89da92a3,United States of America,California,Los Angeles County,UKN
USER_7b870539,United States of America,Connecticut,New Haven County,West Haven
USER_4e20052d,United States of America,Texas,Galveston,UKN
USER_83fca8d3,United States of America,New York,Kings County,NYC
USER_bfda056b,United States of America,Ohio,Summit County,UKN
USER_16090851,United States of America,Minnesota,Ramsey,St. Paul
USER_e63ca6ae,United States of America,California,San Luis Obispo County,UKN
USER_f1d954b0,United States of America,Illinois,Cook,Chicago
USER_3231fcab,United States of America,New Jersey,Monmouth,Neptune Township
USER_23d3fa45,United States of America,Texas,Waller,UKN
USER_4cba804a,United States of America,Florida,Orange County,Orlando
USER_a526fe9a,United States of America,New York,New York,NYC
USER_3687e2bd,Canada,Ontario,UKN,Ottawa
USER_1985aadb,United States of America,Florida,Santa Rosa County,UKN
USER_f6369552,United States of America,Ohio,Franklin County,Bexley
USER_185bea21,United States of America,Arizona,Maricopa County,UKN
USER_0617e84c,United States of America,California,Alameda County,Hayward
USER_00e7be97,United States of America,California,Los Angeles,UKN
USER_e00e8122,Canada,Ontario,UKN,Toronto
USER_e247edbc,United States of America,New York,Kings County,NYC
USER_37ae0af0,United States of America,New York,Kings,NYC
USER_62494011,United States of America,Arkansas,Pulaski,Sherwood
USER_fd28db48,United States of America,New York,Rockland,Hillcrest
USER_8d94560f,United States of America,Louisiana,St. Tammany,UKN
USER_423186d9,United States of America,Virginia,Henrico,UKN
USER_36c12792,United States of America,New York,Kings County,NYC
USER_cbe4c9a6,United States of America,Washington,Pierce County,UKN
USER_9d7f1fef,United States of America,New York,Westchester,Mount Vernon
USER_aa5d7fe6,United States of America,New York,Kings County,NYC
USER_5b9ec25e,United States of America,Louisiana,Lincoln,Ruston
USER_ee8e3efd,United States of America,New York,Queens County,NYC
USER_932d581b,United States of America,Louisiana,Orleans,New Orleans
USER_a74269fa,United States of America,New York,Kings,NYC
USER_fb45895d,United States of America,Georgia,DeKalb County,UKN
USER_e980427a,United States of America,Virginia,Richmond (city),Richmond
USER_57965721,United States of America,Georgia,Carroll,UKN
USER_6a6b29f7,United States of America,North Carolina,Union,UKN
USER_3b0b31ad,United States of America,Maryland,Baltimore County,Rossville
USER_c20a595f,United States of America,New York,New York,NYC
USER_ecd668b7,United States of America,New York,Bronx County,NYC
USER_ea1ec3f9,United States of America,California,Los Angeles,UKN
USER_ff9a9040,United States of America,Virginia,Richmond (city),Richmond
USER_560467b4,United States of America,Maryland,Baltimore,Baltimore
USER_50e1c2ae,United States of America,Virginia,Petersburg (city),Colonial Heights
USER_44ee1e2b,United States of America,Connecticut,New Haven,UKN
USER_29b3d4a7,United States of America,North Carolina,Durham,Durham
USER_02455823,United States of America,New York,Westchester County,White Plains
USER_c9aa92d8,United States of America,Connecticut,New Haven County,West Haven
USER_31567ea8,United States of America,Connecticut,New Haven County,New Haven
USER_03b8fb7a,United States of America,New York,Bronx County,NYC
USER_e64872c4,United States of America,California,Los Angeles County,L.A.
USER_9c582814,United States of America,Illinois,Cook,Chicago
USER_65b30150,United States of America,Alabama,Jackson,UKN
USER_5bccccf6,United States of America,Ohio,Cuyahoga County,Cleveland
USER_1ed2dd67,United States of America,New York,Rockland,Monsey
USER_d2e3c48e,United States of America,North Carolina,Durham,Durham
USER_ac6cba41,United States of America,New York,Westchester County,Mount Vernon
USER_45d89771,United States of America,Arizona,Maricopa,Tempe
USER_50a5ce36,United States of America,Florida,Orange County,Orlando
USER_4ca817c5,United States of America,New York,Kings,NYC
USER_c6c85a2a,United States of America,Wisconsin,Sheboygan,UKN
USER_0b54b221,United States of America,Georgia,Bulloch County,Statesboro
USER_0d4b13c6,United States of America,Maryland,Baltimore,Baltimore
USER_8358a5fd,Canada,Québec,UKN,Montréal
USER_51a153d9,United States of America,New Jersey,Hudson,Jersey City
USER_de6e1322,United States of America,New York,Kings,NYC
USER_392d3596,United States of America,New York,Bronx County,NYC
USER_3fb2168f,United States of America,New York,Queens County,NYC
USER_d99cbbc8,United States of America,North Carolina,Forsyth,Winston-Salem
USER_924c2638,United States of America,Tennessee,Rutherford,UKN
USER_de807543,United States of America,Connecticut,Litchfield,UKN
USER_7d7839d1,United States of America,Georgia,Clayton County,College Park
USER_933b730c,United States of America,Maryland,Baltimore,Baltimore
USER_d7c6afe0,United States of America,Virginia,Henrico,UKN
USER_12c9e550,United States of America,Virginia,Prince William,UKN
USER_b588ca26,United States of America,UKN,District of Columbia,Washington
USER_dae95616,United States of America,Illinois,Cook,Oak Forest
USER_8f9c52b8,United States of America,Virginia,Chesterfield,Ettrick
USER_f2ae49b0,United States of America,North Carolina,Mecklenburg,UKN
USER_0a032084,United States of America,Kansas,Shawnee,Topeka
USER_ee34ec63,United States of America,Connecticut,Middlesex County,UKN
USER_17e94c66,United States of America,Virginia,Chesterfield County,Ettrick
USER_671bc6e3,United States of America,Ohio,Cuyahoga County,Cleveland Heights
USER_197913f0,United States of America,New York,Kings County,NYC
USER_466b9a5c,United States of America,California,Los Angeles County,UKN
USER_0e5ca704,United States of America,Georgia,Henry County,Stockbridge
USER_e2d4b480,United States of America,New York,Kings,NYC
USER_e21b3724,United States of America,New York,Kings,NYC
USER_f29676cc,United States of America,Pennsylvania,Bucks,Bristol
USER_c7f15ba2,United States of America,California,San Diego County,San Diego
USER_7132b5ef,United States of America,Georgia,Fulton County,Alpharetta
USER_d6e47313,United States of America,New Jersey,Union County,Plainfield
USER_c47776f6,United States of America,California,Contra Costa County,Brentwood
USER_5646ff01,United States of America,Florida,Broward County,UKN
USER_80d64a37,United States of America,North Carolina,New Hanover,Wilmington
USER_c8ebce57,United States of America,Maryland,Prince George's,Rosaryville
